,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
37,Castle of Illusion,GAME_ADVENTURE,4.2,36558,$4.99,500000,Disney,https://play.google.com/store/apps/details?id=com.disney.castleofillusion_goo
38,Survivalcraft 2,GAME_ADVENTURE,4.5,5399,$3.99,100000,Candy Rufus Games,https://play.google.com/store/apps/details?id=com.candyrufusgames.survivalcraft2
39,Rusty Lake Hotel,GAME_ADVENTURE,4.8,8962,$1.99,100000,Rusty Lake,https://play.google.com/store/apps/details?id=air.com.RustyLake.RustyLakeHotel
40,GTA: Liberty City Stories,GAME_ADVENTURE,4.4,10100,$6.99,50000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.gtalcs
41,Draw a Stickman: EPIC 2,GAME_ADVENTURE,4.4,5431,$1.99,100000,Hitcents,https://play.google.com/store/apps/details?id=com.hitcents.drawastickmanepic2
42,Rusty Lake: Roots,GAME_ADVENTURE,4.9,8144,$2.99,100000,Rusty Lake,https://play.google.com/store/apps/details?id=air.com.RustyLake.RustyLakeRoots
43,Relic Seeker: Hypogeum,GAME_ADVENTURE,4.3,221,$2.99,5000,Massive Wheel,https://play.google.com/store/apps/details?id=com.massivewheel.RS_Hypogeum_A
44,Sonic Runners Adventure - Fast Action Platformer,GAME_ADVENTURE,4.6,4483,$2.99,50000,Gameloft,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftICHM
45,Rusty Lake Paradise,GAME_ADVENTURE,4.8,4077,$2.99,50000,Rusty Lake,https://play.google.com/store/apps/details?id=air.com.RustyLake.RustyLakeParadise
46,FINAL FANTASY IX for Android,GAME_ADVENTURE,4.4,7392,$20.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.FFIXww.android_googleplay
47,LEGO Harry Potter: Years 1-4,GAME_ADVENTURE,4.1,4903,$4.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.legohp1
48,"Bury me, my Love",GAME_ADVENTURE,4.4,737,$2.99,10000,Playdius,https://play.google.com/store/apps/details?id=com.plug_in_digital.emma
49,Infamous Machine,GAME_ADVENTURE,4.7,1096,$2.99,10000,Blyts,https://play.google.com/store/apps/details?id=com.blyts.infamousmachine
50,Minecraft,GAME_ARCADE,4.5,2587530,$6.99,10000000,Mojang,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe
51,Geometry Dash,GAME_ARCADE,4.8,650641,$1.99,1000000,RobTop Games,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump
52,Grand Theft Auto: Vice City,GAME_ARCADE,4.3,131836,$4.99,1000000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.gtavc
53,ePSXe for Android,GAME_ARCADE,4.5,34982,$3.75,500000,epsxe software s.l.,https://play.google.com/store/apps/details?id=com.epsxe.ePSXe
54,Fruit Ninja Classic,GAME_ARCADE,4.3,85877,$0.99,1000000,Halfbrick Studios,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninja
55,My OldBoy! - GBC Emulator,GAME_ARCADE,4.6,5098,$3.99,100000,Fast Emulator,https://play.google.com/store/apps/details?id=com.fastemulator.gbc
56,Crowded City,GAME_ARCADE,1.2,23,$0.99,500,AppSwan,https://play.google.com/store/apps/details?id=com.chung.crowdedcity
57,Max Payne Mobile,GAME_ARCADE,4.2,30985,$2.99,100000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstar.maxpayne
58,SuperRetro16 ( SNES Emulator ),GAME_ARCADE,4.3,38526,$3.99,1000000,Neutron Emulation,https://play.google.com/store/apps/details?id=com.bubblezapgames.supergnes
